ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65
AD,NA,NA,NA,NA,81.443977,12.214174,105.17227,7.7,25.6,33.8,407433.931,3.013461414,4.110801156,643524.0028,5.061536101,6.206603583,13599.76914,0.074028297,0.162393692,2803277.469,21.271659,27.7735211,NA,NA,NA,0,0,113964,160.06224,19777
AE,50.90654916,49.2503174,3.853168964,8.380161285,187.71289,104.48056,621.67438,16.3,31.7,18.2,28046713.43,2.485664724,3.326552213,81298715.96,8.137369825,9.269372164,479376.0858,0.011860084,0.069120468,117158943,8.66372999,14.5844901,0.215064874,0.245054875,0.03515054,26,0,9088021,100.16113,125702
AF,46.17404351,44.90784235,0.876913548,3.313142538,311.6507,223.39124,1212.5135,9.2,5.5,NA,66092258.93,2.477709855,1.933936387,263485080.5,7.957616136,9.236943674,547865.8178,0.011579518,0.023156564,700363194,22.3578844,23.5933945,0.185448719,0.280513519,0.03045731,0,0,30389700,33.652737,813021
AL,14.04468511,16.05544676,2.274730921,5.545869827,72.942101,38.394451,190.0054,9,21.7,29.2,4917041.53,1.34943582,2.181397993,21657188.59,7.0967188,8.446096403,3365.794764,0.000772361,0.001645707,88189988.39,28.4865453,34.8083169,0.264264854,0.196904814,0.05634605,0,0,2787698,63.493862,399693
AM,16.12684519,20.34901765,3.236005068,7.645777225,94.732925,34.331978,223.56815,6.1,20.2,26.7,7321981.835,2.055939599,3.245534631,22694627.45,7.315325083,9.030389769,119558.4058,0.029360219,0.057591356,76486265.63,26.7617958,28.1342269,0.288559778,0.23379689,0.06590305,0,0,2789961,64.060448,335074
AO,16.50725949,16.35519087,0.538562834,4.672138691,380.27219,255.86406,814.64301,4.5,8.2,NA,64317982.27,1.858669593,1.698310129,241912179.3,6.709285823,6.701955801,62323811.57,2.215497398,1.182964692,803620943.8,21.6224292,23.0065389,0.140421946,0.240235157,0.02709987,0,0,36074944,24.137907,853191
AR,6.327994764,7.18182479,2.09954524,6.612338066,210.09181,132.17136,650.3974,5.9,28.3,21.8,148083694.8,2.659976617,3.929729087,250160269.6,5.283370746,5.798294267,19274347.65,0.341577312,0.516425091,1094006764,20.6835089,27.9337389,0.218497774,0.195327178,0.04559235,0,0,45241880,11.361794,5262759
AT,13.19736391,14.86968822,4.730382442,7.334787846,51.428123,14.386621,125.55064,6.6,20.1,29.1,30300893.48,3.007606061,3.91580328,60559841.8,6.270821033,7.555602142,1529242.679,0.083975359,0.268261564,240600619.9,24.690988,30.2498269,0.306160126,0.194299225,0.06099115,1,0,8783073,60.95504,1662716
AU,4.49362104,5.686630585,0.666601956,5.571048737,843.24878,264.43478,1505.0906,5.6,29,16.2,73693078,3.373220161,3.601554418,151957546.4,6.050181964,8.355169622,1336286.422,0.026189929,0.101178319,399439769.1,16.8632529,20.9785299,0.240407595,0.171786752,0.04482187,0,6,21140044,2.1216061,3426652
AZ,18.44522062,19.16046578,2.324945927,4.719820023,87.777885,60.971176,300.78314,6.1,19.9,19.6,26306421.04,2.223644458,2.93474585,86017122.8,7.47239954,9.388378645,299266.6439,0.015656496,0.043323034,235705298.5,22.2540674,23.8933347,0.24273757,0.229783594,0.0538693,0,0,10220847,78.324265,690685
BA,16.84028906,17.98561677,2.798742771,3.451641798,74.203087,18.42984,127.86188,9,17.9,38.3,8303198.023,2.018873857,2.961465976,26459766.32,7.089449663,8.745611067,10676.23099,0.002125803,0.004303538,123131741.3,35.4349599,38.1209583,0.339935023,0.221197193,0.07999977,0,0,3351225,40.539822,596076
BB,6.089015143,6.08359073,3.944468498,4.776596069,6.6830707,4.4590302,53.104332,13.4,23.1,8.7,304583.4619,0.975599502,1.249404602,2012726.259,6.914988759,7.739827252,125636.2918,0.361274391,0.560752823,7682752.755,26.7103558,29.19584,0.305721056,0.218502689,0.05782005,0,0,275445,529.70215,44968
BD,68.75077009,72.70523684,3.455399752,5.711639404,37.075157,32.713253,132.04317,9.2,3.6,39.1,503957079.9,2.896687864,3.213897118,1039507098,5.865640743,6.737350865,863875.0953,0.004241571,0.006224823,3444461746,20.1878397,21.5814299,0.164266441,0.187789634,0.0344779,1,0,164896416,934.90356,8403617
BE,13.8748233,14.72702878,7.77984333,9.85800457,14.28505,6.5182505,78.614342,4.6,22.1,25,50657519.59,3.835995648,4.919573148,71757697.67,5.720223807,6.672285134,2087671.772,0.124932103,0.237053405,273164344.6,19.7583989,27.4872093,0.298328651,0.195382742,0.05923436,0,0,11600964,206.44856,2218516
BF,58.91402593,58.66537976,1.276966691,2.697579384,116.44661,41.492443,115.10783,7.3,5.6,16,33548458.66,1.504139203,1.434155834,132178137.9,5.601236906,5.997054104,13387428.33,0.700170388,0.465688872,558181043.9,25.1763732,23.7011127,0.134567338,0.222608887,0.02628065,0,0,22817800,69.777496,530003
BG,13.46820808,15.12224173,2.396633387,3.512327671,89.865135,25.940252,195.7283,6,25,38.9,19951292.83,2.438552856,3.360071364,55391840.25,7.165627319,8.907858125,174522.6305,0.012604212,0.038682755,251079571.4,33.2580044,39.5494754,0.346276687,0.214526509,0.08533771,0,0,6915880,39.22279,1501862
BH,52.12011366,55.91641535,12.27449608,17.96888161,11.561626,12.013113,129.37103,15.6,29.8,25.1,4818826.551,2.03340681,2.217031323,17525133.99,7.09451312,8.230029565,29717.58647,0.010290632,0.014922931,36505102.52,14.0416782,17.5526212,0.213245565,0.240078303,0.03918187,1,0,2239835,2437.2527,59520
BI,21.03527511,21.87731309,1.296471953,1.569824219,36.602757,10.282607,66.167557,5.1,5.4,12.6,20355015.67,1.630708146,1.962587095,75216647.06,6.563547882,6.702211565,12043902.75,1.349347051,0.76796455,244917278.1,22.0624177,21.1171623,0.128276025,0.216027808,0.02392474,0,0,11354581,385.94769,301014
BJ,68.30857511,71.35042284,1.295109749,2.298987865,110.32185,46.819485,155.30682,1,9.6,7.2,25628034.86,2.031408414,1.902919932,84124128.57,6.200439906,6.73635035,10492674.68,1.006420206,0.596032719,278231796.2,21.3262115,21.4217545,0.146981425,0.224321883,0.02816253,0,0,13017990,95.162834,353727
BN,12.28775501,13.1479763,2.397631884,3.918959856,242.30626,140.91243,385.73355,13.3,14.1,15.5,1458354.813,2.856114602,3.613980205,2628480.721,5.622488866,6.065035226,51262.02528,0.06006753,0.16514453,8052031.769,14.455768,21.1954664,0.230985263,0.228769324,0.04498152,0,0,449312,66.348495,25187
BO,13.37665525,12.43416748,1.257235289,3.67476511,445.49918,298.52036,1028.0754,6.8,20.2,NA,23126060.55,1.927666899,1.973134692,51265074.15,4.188251086,4.459373461,1740665.116,0.103509242,0.190322983,179807595.8,13.6011278,16.7355096,0.171228292,0.191058415,0.03142161,0,0,11860514,9.0161867,833912
BR,11.62951172,9.949585486,1.33224237,7.881856441,736.97809,530.60455,1332.0337,10.4,22.1,16.5,514185368,2.533580856,3.120196528,1052836193,5.367432044,6.199374998,70522662.42,0.278839335,0.500328062,4221906822,20.4470955,25.9946317,0.201606934,0.180127808,0.03988518,0,1,216318064,21.290783,20627258
BS,5.197852895,5.113017725,0.540871441,4.281250954,452.77246,228.30449,2423.8279,8.8,31.6,10.9,480452.3209,1.01831935,1.541035682,2622726.648,6.488454048,7.403619488,378640.2145,0.908614544,1.099361981,8030031.208,17.8850341,24.8170524,0.234775507,0.219653903,0.04842287,0,0,378604,22.272137,37945
BT,28.23106331,36.95976542,1.239461064,2.047267437,494.33014,326.21674,718.04852,10.3,6.4,NA,2858000.794,3.352032111,3.309038912,5250568.592,5.402396134,6.753490914,78786.99522,0.062125011,0.118237223,19946946.68,21.5726774,24.7207098,0.169524173,0.189766169,0.03345307,0,0,858436,16.847609,44767
