"ID","Cases","Type"
"AD",95,"Active"
"AD",13813,"Confirmed"
"AD",127,"Deaths"
"AD",13591,"Recovered"
"AE",18980,"Active"
"AE",593894,"Confirmed"
"AE",1720,"Deaths"
"AE",573194,"Recovered"
"AF",23706,"Active"
"AF",87716,"Confirmed"
"AF",3412,"Deaths"
"AF",60598,"Recovered"
"AG",7,"Active"
"AG",1263,"Confirmed"
"AG",42,"Deaths"
"AG",1214,"Recovered"
"AL",177,"Active"
"AL",132437,"Confirmed"
"AL",2453,"Deaths"
"AL",129807,"Recovered"
"AM",4075,"Active"
"AM",223555,"Confirmed"
"AM",4482,"Deaths"
"AM",214998,"Recovered"
"AO",5535,"Active"
"AO",36455,"Confirmed"
"AO",819,"Deaths"
"AO",30101,"Recovered"
"AR",339790,"Active"
"AR",4093090,"Confirmed"
"AR",84628,"Deaths"
"AR",3668672,"Recovered"
"AT",4430,"Active"
"AT",648187,"Confirmed"
"AT",10652,"Deaths"
"AT",633105,"Recovered"
"AU",5671,"Active"
"AU",30234,"Confirmed"
"AU",910,"Deaths"
"AU",23653,"Recovered"
"AZ",1920,"Active"
"AZ",335065,"Confirmed"
"AZ",4951,"Deaths"
"AZ",328194,"Recovered"
"BA",17996,"Active"
"BA",204597,"Confirmed"
"BA",9479,"Deaths"
"BA",177122,"Recovered"
"BB",18,"Active"
"BB",4033,"Confirmed"
"BB",47,"Deaths"
"BB",3968,"Recovered"
"BD",47901,"Active"
"BD",822849,"Confirmed"
"BD",13032,"Deaths"
"BD",761916,"Recovered"
"BE",1049913,"Active"
"BE",1074988,"Confirmed"
"BE",25075,"Deaths"
"BE",0,"Recovered"
"BF",21,"Active"
"BF",13456,"Confirmed"
"BF",167,"Deaths"
"BF",13268,"Recovered"
"BG",12952,"Active"
"BG",420213,"Confirmed"
"BG",17893,"Deaths"
"BG",389368,"Recovered"
"BH",15196,"Active"
"BH",256921,"Confirmed"
"BH",1196,"Deaths"
"BH",240529,"Recovered"
"BI",4194,"Active"
"BI",4975,"Confirmed"
"BI",8,"Deaths"
"BI",773,"Recovered"
"BJ",28,"Active"
"BJ",8109,"Confirmed"
"BJ",102,"Deaths"
"BJ",7979,"Recovered"
"BN",6,"Active"
"BN",248,"Confirmed"
"BN",3,"Deaths"
"BN",239,"Recovered"
"BO",69422,"Active"
"BO",400047,"Confirmed"
"BO",15321,"Deaths"
"BO",315304,"Recovered"
"BR",1551424,"Active"
"BR",17296118,"Confirmed"
"BR",484235,"Deaths"
"BR",15260459,"Recovered"
"BS",775,"Active"
"BS",12092,"Confirmed"
"BS",236,"Deaths"
"BS",11081,"Recovered"
"BT",348,"Active"
"BT",1789,"Confirmed"
"BT",1,"Deaths"
"BT",1440,"Recovered"
"BW",2967,"Active"
"BW",59480,"Confirmed"
"BW",896,"Deaths"
"BW",55617,"Recovered"
"BY",4237,"Active"
"BY",403845,"Confirmed"
"BY",2958,"Deaths"
"BY",396650,"Recovered"
"BZ",150,"Active"
"BZ",12938,"Confirmed"
"BZ",325,"Deaths"
"BZ",12463,"Recovered"
"CA",18254,"Active"
"CA",1407291,"Confirmed"
"CA",25862,"Deaths"
"CA",1363175,"Recovered"
"CD",6041,"Active"
"CD",34695,"Confirmed"
"CD",831,"Deaths"
"CD",27823,"Recovered"
"CF",144,"Active"
"CF",7101,"Confirmed"
"CF",98,"Deaths"
"CF",6859,"Recovered"
"CG",759,"Active"
"CG",12026,"Confirmed"
"CG",157,"Deaths"
"CG",11110,"Recovered"
"CH",371592,"Active"
"CH",700051,"Confirmed"
"CH",10859,"Deaths"
"CH",317600,"Recovered"
"CI",197,"Active"
"CI",47638,"Confirmed"
"CI",306,"Deaths"
"CI",47135,"Recovered"
"CL",48823,"Active"
"CL",1461419,"Confirmed"
"CL",30472,"Deaths"
"CL",1382124,"Recovered"
"CM",43519,"Active"
"CM",80090,"Confirmed"
"CM",1310,"Deaths"
"CM",35261,"Recovered"
