ID,Cases_Active,Cases_Confirmed,Cases_Deaths
AD,95,13813,127
AE,18980,593894,1720
AF,23706,87716,3412
AG,7,1263,42
AL,177,132437,2453
AM,4075,223555,4482
AO,5535,36455,819
AR,339790,4093090,84628
AT,4430,648187,10652
AU,5671,30234,910
AZ,1920,335065,4951
BA,17996,204597,9479
BB,18,4033,47
BD,47901,822849,13032
BE,1049913,1074988,25075
BF,21,13456,167
BG,12952,420213,17893
BH,15196,256921,1196
BI,4194,4975,8
BJ,28,8109,102
BN,6,248,3
BO,69422,400047,15321
BR,1551424,17296118,484235
BS,775,12092,236
BT,348,1789,1
BW,2967,59480,896
BY,4237,403845,2958
BZ,150,12938,325
CA,18254,1407291,25862
CD,6041,34695,831
CF,144,7101,98
CG,759,12026,157
CH,371592,700051,10859
CI,197,47638,306
CL,48823,1461419,30472
CM,43519,80090,1310
CN,518,103320,4846
CO,164983,3694707,94615
CR,74383,339900,4322
CU,6248,154866,1065
CV,1009,31512,272
CY,33682,73115,372
CZ,6204,1664839,30219
DE,56990,3720811,89821
DJ,16,11571,154
DK,10082,289122,2523
DM,1,189,0
DO,53361,306698,3700
DZ,36783,132727,3560
EC,17479,437121,20997
EE,3624,130418,1266
EG,56393,271780,15547
ER,554,4848,16
ES,3502723,3733600,80501
ET,20186,273892,4235
FI,46696,93660,964
FJ,688,970,4
FM,0,1,0
FR,5225191,5671864,109472
GA,839,24736,156
GB,4423060,4550944,127884
GD,0,161,1
GE,9817,352649,5012
GH,1103,94444,789
GM,15,6008,180
GN,1761,23366,167
GQ,219,8640,118
GR,307809,413954,12381
GT,16476,269308,8416
GW,188,3802,69
GY,1664,18196,422
HN,151232,245695,6599
HR,1207,358379,8123
HT,3173,16079,346
HU,52272,806790,29904
ID,106315,1894025,52566
IE,237753,266058,4941
IL,320,839653,6428
IN,1080690,29359155,367081
IQ,66089,1246860,16668
IR,306480,3013078,81796
IS,50,6555,29
IT,165239,4241760,126924
JM,21914,48810,960
JO,5235,739847,9530
JP,37253,772293,13936
KE,51806,174773,3378
KG,5299,109193,1876
KH,6393,37321,311
KI,2,2,0
KM,12,3894,146
KN,32,83,0
KR,7403,147422,1982
KW,15689,325014,1813
KZ,25764,456346,3487
LA,149,1979,3
LB,7987,542375,7790
LC,120,5168,80
LI,17,3024,59
LK,32265,218366,2011
LR,326,2484,93
LS,4087,10853,326
LT,10909,277379,4330
LU,645,70406,818
LV,3060,135762,2449
LY,11170,188762,3158
MA,3340,523165,9202
MC,14,2520,33
MD,1065,255715,6149
ME,473,99914,1597
MG,800,41869,879
MH,0,4,0
MK,425,155507,5470
ML,3910,14336,523
MM,9060,145064,3239
MN,15509,72104,342
MR,489,20005,473
MT,64,30579,419
MU,313,1564,18
MV,13080,69831,192
MW,603,34470,1158
MX,268578,2448820,229823
MY,78864,646411,3768
MZ,637,71355,840
NA,8099,62806,973
NE,93,5446,192
NG,1504,167051,2117
NI,3249,7662,188
NL,1652790,1670498,17708
NO,109087,127874,789
NP,75275,604396,8305
NZ,29,2702,26
OM,19957,230219,2467
PA,8827,386269,6427
PE,-145394,1998056,188100
PG,515,16621,164
PH,61345,1300349,22507
PK,42717,939931,21633
PL,154804,2877007,74515
PS,4550,311018,3524
PT,24589,855951,17044
PY,57554,387687,10561
QA,2409,219466,574
RO,4046,1079530,31681
RS,707683,714634,6951
RU,270140,5120578,123568
RW,1153,27862,368
SA,10112,463703,7537
SB,0,20,0
SC,1293,12973,46
SD,3643,36203,2719
SE,1068882,1083456,14574
SG,412,62245,34
SI,3083,256224,4398
SK,123160,390893,12433
SL,1061,4312,82
SM,2,5090,90
SN,301,41900,1150
SO,6989,14779,774
SR,3745,17799,390
SS,59,10688,115
ST,13,2356,37
SV,2913,75351,2288
SY,1298,24767,1806
SZ,109,18723,676
TD,3,4942,174
TG,177,13597,126
TH,161553,189828,1402
TJ,0,13308,90
TL,1616,8145,18
TN,31979,364819,13365
TR,77821,5319359,48593
TT,9453,28106,644
TW,10982,12500,385
TZ,305,509,21
UA,51527,2281303,53683
UG,10347,58515,408
US,32838566,33437746,599180
UY,35246,333484,4906
UZ,3265,102892,704
VA,0,27,0
VC,231,2132,12
VE,17025,248820,2797
VN,6187,10048,57
VU,0,4,1
WS,0,3,0
XK,635,107125,2252
YE,1817,6856,1342
ZA,74221,1730106,57592
ZM,10952,107974,1348
ZW,1089,39688,1629
