Country,Latitude,Diabetes,Obesity,Smoking,COPD,CVD,HIV,Hypertension,Pop_Density,Confirmed,Deaths,C19/100k
ARE,23.42,16.3,31.7,18.2,28046713.43,81298715.96,479376.0858,117158943,100.16113,593894,1720,6004.8
ALB,41.15,9,21.7,29.2,4917041.53,21657188.59,3365.794764,88189988.39,63.493862,132437,2453,4602
ARM,40.07,6.1,20.2,26.7,7321981.835,22694627.45,119558.4058,76486265.63,64.060448,223555,4482,7544.3
AUT,47.52,6.6,20.1,29.1,30300893.48,60559841.8,1529242.679,240600619.9,60.95504,648187,10652,7197
AZE,40.14,6.1,19.9,19.6,26306421.04,86017122.8,299266.6439,235705298.5,78.324265,335065,4951,3304.7
BIH,43.92,9,17.9,38.3,8303198.023,26459766.32,10676.23099,123131741.3,40.539822,204597,9479,6236.2
BGD,23.68,9.2,3.6,39.1,503957079.9,1039507098,863875.0953,3444461746,934.90356,822849,13032,499.6
BEL,50.83,4.6,22.1,25,50657519.59,71757697.67,2087671.772,273164344.6,206.44856,1074988,25075,9275.4
BGR,42.73,6,25,38.9,19951292.83,55391840.25,174522.6305,251079571.4,39.22279,420213,17893,6047.6
BHR,26.03,15.6,29.8,25.1,4818826.551,17525133.99,29717.58647,36505102.52,2437.2527,256921,1196,15098.9
BLR,53.71,5,24.5,26.6,18994793.63,70553779.2,1550690.511,292075711.1,22.723469,403845,2958,4273.8
CHE,46.82,5.7,19.5,25.1,24727596.14,48010200.25,1792998.184,204583652.2,127.09396,700051,10859,8088.8
CMR,3.85,6,11.4,9.3,64256563.59,176696281.4,73828699.77,524610858.2,51.555649,80090,1310,301.7
CHN,35.86,9.2,6.2,24.7,3674732390,9462250297,49883032.95,29709400211,105.88853,103320,4846,7.4
CYP,35.13,9,21.8,36.7,2900247.269,5264830.862,13066.18284,20765215.43,116.35807,73115,372,6055.8
CZE,49.82,7,26,31.5,30914078.29,91525450.38,149559.3097,369758717.7,76.580841,1664839,30219,15546.2
DEU,51.17,10.4,22.3,28,32900.42457,55395.05163,686.1482834,241115.2982,248.76251,3720811,89821,4441
DNK,56.26,8.3,19.7,18.6,27744268.59,37266984.01,592255.8877,158044424.7,65.476112,289122,2523,4991.6
DZA,28.03,6.7,27.4,18.8,83010606.57,361550601.4,1028683.964,953006243.3,14.372406,132727,3560,302.7
EST,58.6,4.2,21.2,30.5,2227092.781,11913629.58,351382.6558,47705497.06,14.276736,130418,1266,9831.4
ESP,40.46,6.9,23.8,27.9,181745469.7,290301389.5,9798413.322,1311286194,68.013908,3733600,80501,7985.5
FIN,61.92,5.6,22.2,19.7,13901312.7,34552196.77,123455.6273,147859861.2,6.2922997,93660,964,1690.4
FRA,46.23,4.8,21.6,34.6,148999127.1,403312924.9,9242274.117,1936233849,73.097343,5671864,109472,8689.4
GBR,55.38,3.9,27.8,19.2,287572335.3,410133932.9,12481109.89,1364019368,138.56555,4550944,127884,6703.8
GEO,42.32,5.8,21.7,29.7,9649792.236,33643479.25,412032.7516,116902734.5,33.898582,352649,5012,8840.1
GRC,39.07,4.7,24.9,39.1,32547962.12,58252517.8,441216.7792,272632285.8,53.04789,413954,12381,3971.5
HRV,45.1,5.4,24.4,36.6,12152431.11,29894356.47,72478.83835,168234489.5,43.780178,358379,8123,8729.7
HUN,47.16,6.9,26.4,30.6,36212350.68,78287876.46,155894.7959,344017274.8,59.28672,806790,29904,8351.6
IRL,53.14,3.2,25.3,23.6,22019895.31,33058324.47,252565.746,124595357,40.289165,266058,4941,5388.2
ISR,31.05,9.7,26.1,25.5,21816691.87,48252802.78,1350765.421,166015576.7,297.70181,839653,6428,9700.8
IND,20.59,10.4,3.9,27,4883967087,8942443298,185367251.8,33095786207,357.89706,29359155,367081,2127.5
IRQ,33.22,8.8,30.4,22.2,49267098.14,408410038.9,269502.7214,861600841.8,72.400681,1246860,16668,3099.9
IRN,32.43,9.6,25.8,14,173469040.9,769017677.9,2399007.668,1370916275,35.859539,3013078,81796,3587.3
ISL,64.96,5.8,21.9,13.8,1097279.059,1954228.04,19011.91298,7908011.128,1.2272581,6555,29,1920.9
ITA,41.87,5,19.9,23.4,16406249.23,52764623.47,875719.1548,194682498.3,88.557579,4241760,126924,7015.6
JPN,36.2,5.6,4.3,21.9,196679925,801333314.5,3398522.125,3396887746,232.89558,772293,13936,610.6
KGZ,41.2,6.1,16.6,27.9,18396781.71,42076664.45,579369.4022,128251467,18.916246,109193,1876,1673.7
KHM,11.55,6.4,3.9,21.8,46813173.81,110038778.3,9442410.32,443238349.5,91.280609,37321,311,223.2
KOR,35.91,6.9,4.7,22,119548350.7,252621145.9,2277679.656,684717461.2,357.28375,147422,1982,287.5
KWT,29.31,12.2,37.9,22.1,3883795.408,30074538.4,22411.3488,61921433.84,152.31728,325014,1813,7610.6
KAZ,48.02,6.1,21,24.4,62293749.27,138805587.4,1583333.052,481112341.1,3.8845463,456346,3487,2430.4
LAO,19.86,6.4,5.3,37.8,21730308.96,45977726.68,989062.2546,146645369.1,26.790396,1979,3,27.2
LBN,33.85,11.2,32,42.6,28960991.53,85115022.97,245336.0076,195573090.5,691.2738,542375,7790,7946.4
LKA,7.87,10.7,5.2,22.9,53655134.5,119836761.8,194459.9978,505965361.2,273.98676,218366,2011,1019.8
LTU,55.17,3.8,26.3,27.1,4942691.542,21384422.11,182782.2522,95095490.38,20.798796,277379,4330,10189.2
LUX,49.82,5,22.6,21.7,2177368.3,3796043.13,47118.30086,15448536.87,127.17725,70406,818,11247.4
LVA,56.88,5,23.6,36.7,3676309.867,19254984.06,495463.7041,90282974.19,18.102781,135762,2449,7197.6
MAR,31.79,7,26.1,14.7,71102978.87,316327556.3,1329770.814,846847199.3,62.71801,523165,9202,1417.4
MLI,17.57,2.4,8.6,12,55218836.14,142179794.1,17484000.62,578770963.2,15.168108,14336,523,70.8
MMR,21.92,3.9,5.8,45.5,197389213.6,281895847.3,19029742.12,1086603503,57.59837,145064,3239,266.6
MNG,46.86,4.7,20.6,27.6,4366436.768,26800332.6,44807.98332,78143328.01,1.1974641,72104,342,2199.4
MLT,35.94,8.3,28.9,25.1,1107214.406,2419818.873,36942.38936,10373416.72,890.15558,30579,419,6925.5
MYS,4.21,16.7,15.6,21.8,75621356.64,241543212,5982055.843,713220904.8,89.213837,646411,3768,1997.2
NLD,52.13,5.4,20.4,23.4,73706295.73,106036116.2,1813710.709,432887221.7,257.38358,1670498,17708,9749.1
NOR,60.47,5.3,23.1,18.4,20866501.03,37009082.81,343835.0232,129668135.4,6.0060945,127874,789,2358.8
NPL,28.17,7.2,4.1,31.9,154040703.4,225753680.1,4170947.262,1065874920,208.85182,604396,8305,2074.3
OMN,21.51,10.1,27,9.6,5242125.066,32260852.03,205183.8078,60040568,9.6551275,230219,2467,4508.2
PHL,12.88,7.1,6.4,24.3,268964686.1,684081147.3,27575253.76,2001466105,298.05307,1300349,22507,1186.7
PAK,30.38,19.9,8.6,20,624784709.2,1711237962,8990476.984,5876583913,196.26926,939931,21633,425.5
POL,51.92,6.1,23.1,26,98862288.3,270990330.9,1443053.372,1342881773,66.624763,2877007,74515,7601.8
PRT,39.4,9.8,20.8,27.9,31846309.18,56839109.05,3746502.027,335976595.6,76.586342,855951,17044,8394.4
QAT,25.35,15.6,35.1,14,12664016.34,51832640.81,34004.74719,101716786.6,447.6106,219466,574,7617.5
ROU,45.94,6.9,22.5,25.5,88001798.52,260654622.4,2824891.712,1202498785,85.580498,1079530,31681,5611.5
SRB,44.02,9,21.5,40.6,22037360.25,57666794.14,171473.067,244900228.6,55.530155,714634,6951,8179.1
RUS,61.52,6.1,23.1,28.3,295302916.7,1127026350,103888421.2,4464388161,3.3787088,5120578,123568,3508.8
SAU,23.89,15.8,35.4,16.6,79881318.18,306279655.8,931576.9985,700850604.6,15.042521,463703,7537,1331.9
SWE,60.13,4.8,20.6,28.8,35335397.38,71426263.46,494870.0845,262709272.2,9.0574884,1083456,14574,10728.1
SGP,1.28,5.5,6.1,16.5,7629954.209,23319664.87,286577.5848,74905299.3,5671.6699,62245,34,1064
SVN,46.15,5.9,20.2,22.7,4697763.311,16562177.31,24477.32036,83514169.52,65.252426,256224,4398,12324.8
SVK,48.67,6.5,20.5,32.3,11519645.92,40232227.38,31428.81909,180024331.7,63.127808,390893,12433,7159.7
THA,15.87,7,10,22.8,159311438.5,417571556.3,48982853.73,1868332637,120.34926,189828,1402,272
TUR,38.96,11.1,32.1,29.3,284732914.6,526944005.2,493504.4523,1586345095,69.21508,5319359,48593,6307.1
USA,40,10.8,36.2,25.1,488915287.8,1016090350,58088517.77,2019186510,17.339632,33437746,599180,10149.1
UZB,41.38,6.5,16.6,12.3,57448717.7,290521922.9,2235592.004,729937151.8,50.208542,102892,704,307.4
YEM,15.55,5.4,17.1,20.9,64626643.7,253249674.1,763378.2376,681000619.6,54.946499,6856,1342,23
