ID,ISO1_3C,Longitude,Latitude,Population,NameID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,COPD_ave,CVD,CVD_F,CVD_M,CVD_ave,HIV,HIV_F,HIV_M,HIV_ave,Hypertension,Hypertension_F,Hypertension_M,HTN_ave,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,Cases_Active,Cases_Confirmed,Cases_Deaths,Deaths/100k,Deaths/100k,
AL,ALB,20.17,41.15,2877800,Albania,14.04468511,16.05544676,2.274730921,5.545869827,72.942101,38.394451,190.0054,9,21.7,29.2,4917041.53,1.34943582,2.181397993,1.8,21657188.59,7.0967188,8.446096403,7.8,3365.794764,0.000772361,0.001645707,0.0,88189988.39,28.4865453,34.8083169,31.6,0.264264854,0.196904814,0.05634605,0,0,2787698,63.493862,399693,177,132437,2453,85,85,
AM,ARM,45.04,40.07,2963234,Armenia,16.12684519,20.34901765,3.236005068,7.645777225,94.732925,34.331978,223.56815,6.1,20.2,26.7,7321981.835,2.055939599,3.245534631,2.7,22694627.45,7.315325083,9.030389769,8.2,119558.4058,0.029360219,0.057591356,0.0,76486265.63,26.7617958,28.1342269,27.4,0.288559778,0.23379689,0.06590305,0,0,2789961,64.060448,335074,4075,223555,4482,151,151,
AT,AUT,14.55,47.52,9006400,Austria,13.19736391,14.86968822,4.730382442,7.334787846,51.428123,14.386621,125.55064,6.6,20.1,29.1,30300893.48,3.007606061,3.91580328,3.5,60559841.8,6.270821033,7.555602142,6.9,1529242.679,0.083975359,0.268261564,0.2,240600619.9,24.690988,30.2498269,27.5,0.306160126,0.194299225,0.06099115,1,0,8783073,60.95504,1662716,4430,648187,10652,118,118,
BA,BIH,17.68,43.92,3280815,Bosnia and Herzegovina,16.84028906,17.98561677,2.798742771,3.451641798,74.203087,18.42984,127.86188,9,17.9,38.3,8303198.023,2.018873857,2.961465976,2.5,26459766.32,7.089449663,8.745611067,7.9,10676.23099,0.002125803,0.004303538,0.0,123131741.3,35.4349599,38.1209583,36.8,0.339935023,0.221197193,0.07999977,0,0,3351225,40.539822,596076,17996,204597,9479,289,289,
BE,BEL,4.47,50.83,11589616,Belgium,13.8748233,14.72702878,7.77984333,9.85800457,14.28505,6.5182505,78.614342,4.6,22.1,25,50657519.59,3.835995648,4.919573148,4.4,71757697.67,5.720223807,6.672285134,6.2,2087671.772,0.124932103,0.237053405,0.2,273164344.6,19.7583989,27.4872093,23.6,0.298328651,0.195382742,0.05923436,0,0,11600964,206.44856,2218516,1049913,1074988,25075,216,216,
BG,BGR,25.49,42.73,6948445,Bulgaria,13.46820808,15.12224173,2.396633387,3.512327671,89.865135,25.940252,195.7283,6,25,38.9,19951292.83,2.438552856,3.360071364,2.9,55391840.25,7.165627319,8.907858125,8.0,174522.6305,0.012604212,0.038682755,0.0,251079571.4,33.2580044,39.5494754,36.4,0.346276687,0.214526509,0.08533771,0,0,6915880,39.22279,1501862,12952,420213,17893,258,258,
BY,BLR,27.95,53.71,9449321,Belarus,14.28726995,14.8512395,3.111583948,7.740992546,80.232132,19.636738,179.89503,5,24.5,26.6,18994793.63,1.23811543,3.06119863,2.1,70553779.2,6.957949608,8.576298796,7.8,1550690.511,0.138012138,0.206163062,0.2,292075711.1,29.0834599,35.1731129,32.1,0.308196436,0.217371526,0.07221632,0,0,9169488,22.723469,1431322,4237,403845,2958,31,31,
CH,CHE,8.23,46.82,8654618,Switzerland,13.22384588,13.85186536,4.674900532,7.205999374,50.469692,18.116243,101.28507,5.7,19.5,25.1,24727596.14,2.583273835,3.104930588,2.8,48010200.25,5.025478659,6.018287262,5.5,1792998.184,0.141806868,0.271770822,0.2,204583652.2,20.2258134,26.8638966,23.5,0.287620985,0.184334137,0.0546954,0,1,8709241,127.09396,1664024,371592,700051,10859,125,125,
CN,CHN,104.2,35.86,1404676330,China,31.73088927,47.21721058,2.484075069,8.359832764,465.35529,332.27637,1033.3904,9.2,6.2,24.7,3674732390,2.669762704,2.429542566,2.5,9462250297,7.035481462,6.102815165,6.6,49883032.95,0.018312678,0.050034866,0.0,29709400211,18.5594979,22.5198786,20.5,0.244324361,0.193100972,0.05023996,9,5327,1442965120,105.88853,172914080,518,103320,4846,0,0,
CZ,CZE,15.47,49.82,10708982,Czechia,16.76710801,17.8993814,6.313633442,7.938811779,29.545811,9.7526665,99.069199,7,26,31.5,30914078.29,2.27503703,3.459419472,2.9,91525450.38,7.680213365,9.257905515,8.5,149559.3097,0.005220007,0.022764945,0.0,369758717.7,29.292954,39.2089012,34.3,0.341421574,0.219123852,0.07520233,0,0,10840555,76.580841,2175468,6204,1664839,30219,282,282,
