Country,Latitude,Diabetes,Obesity,Smoking,COPD,CVD,HIV,Hypertension,Pop_Density,Pop_65,Confirmed,Deaths,C19/100k,MERS per 100k,SARS per 100k
AND,42.51,7.7,25.6,33.8,407433.931,643524.0028,13599.76914,2803277.469,160.06224,19777,13813,127,17877.4,0.000000,0.000000
ARE,23.42,16.3,31.7,18.2,28046713.43,81298715.96,479376.0858,117158943,100.16113,125702,593894,1720,6004.8,0.262881,0.000000
AFG,33.94,9.2,5.5,NA,66092258.93,263485080.5,547865.8178,700363194,33.652737,813021,87716,3412,225.3,0.000000,0.000000
ALB,41.15,9,21.7,29.2,4917041.53,21657188.59,3365.794764,88189988.39,63.493862,399693,132437,2453,4602.0,0.000000,0.000000
ARM,40.07,6.1,20.2,26.7,7321981.835,22694627.45,119558.4058,76486265.63,64.060448,335074,223555,4482,7544.3,0.000000,0.000000
AGO,-11.2,4.5,8.2,NA,64317982.27,241912179.3,62323811.57,803620943.8,24.137907,853191,36455,819,110.9,0.000000,0.000000
ARG,-38.42,5.9,28.3,21.8,148083694.8,250160269.6,19274347.65,1094006764,11.361794,5262759,4093090,84628,9056.4,0.000000,0.000000
AUT,47.52,6.6,20.1,29.1,30300893.48,60559841.8,1529242.679,240600619.9,60.95504,1662716,648187,10652,7197.0,0.011103,0.000000
AUS,-25,5.6,29,16.2,73693078,151957546.4,1336286.422,399439769.1,2.1216061,3426652,30234,910,118.8,0.000000,0.023567
AZE,40.14,6.1,19.9,19.6,26306421.04,86017122.8,299266.6439,235705298.5,78.324265,690685,335065,4951,3304.7,0.000000,0.000000
BIH,43.92,9,17.9,38.3,8303198.023,26459766.32,10676.23099,123131741.3,40.539822,596076,204597,9479,6236.2,0.000000,0.000000
BRB,13.19,13.4,23.1,8.7,304583.4619,2012726.259,125636.2918,7682752.755,529.70215,44968,4033,47,1403.4,0.000000,0.000000
BGD,23.68,9.2,3.6,39.1,503957079.9,1039507098,863875.0953,3444461746,934.90356,8403617,822849,13032,499.6,0.000607,0.000000
BEL,50.83,4.6,22.1,25,50657519.59,71757697.67,2087671.772,273164344.6,206.44856,2218516,1074988,25075,9275.4,0.000000,0.000000
BFA,12.24,7.3,5.6,16,33548458.66,132178137.9,13387428.33,558181043.9,69.777496,530003,13456,167,64.4,0.000000,0.000000
BGR,42.73,6,25,38.9,19951292.83,55391840.25,174522.6305,251079571.4,39.22279,1501862,420213,17893,6047.6,0.000000,0.000000
BHR,26.03,15.6,29.8,25.1,4818826.551,17525133.99,29717.58647,36505102.52,2437.2527,59520,256921,1196,15098.9,0.058769,0.000000
BDI,-3.37,5.1,5.4,12.6,20355015.67,75216647.06,12043902.75,244917278.1,385.94769,301014,4975,8,41.8,0.000000,0.000000
BEN,9.31,1,9.6,7.2,25628034.86,84124128.57,10492674.68,278231796.2,95.162834,353727,8109,102,66.9,0.000000,0.000000
BRN,4.54,13.3,14.1,15.5,1458354.813,2628480.721,51262.02528,8052031.769,66.348495,25187,248,3,56.7,0.000000,0.000000
BOL,-16.29,6.8,20.2,NA,23126060.55,51265074.15,1740665.116,179807595.8,9.0161867,833912,400047,15321,3427.1,0.000000,0.000000
BRA,-14.23,10.4,22.1,16.5,514185368,1052836193,70522662.42,4221906822,21.290783,20627258,17296118,484235,8137.1,0.000000,0.000470
BHS,25.03,8.8,31.6,10.9,480452.3209,2622726.648,378640.2145,8030031.208,22.272137,37945,12092,236,3074.9,0.000000,0.000000
BTN,27.51,10.3,6.4,NA,2858000.794,5250568.592,78786.99522,19946946.68,16.847609,44767,1789,1,231.9,0.000000,0.000000
BWA,-22.33,5.8,18.9,23.7,5991731.934,16516008.73,39251565.12,54247037.08,3.2950499,102686,59480,896,2529.3,0.000000,0.000000
BLR,53.71,5,24.5,26.6,18994793.63,70553779.2,1550690.511,292075711.1,22.723469,1431322,403845,2958,4273.8,0.000000,0.000000
BLZ,17.19,17.1,24.1,NA,782329.2088,2933113.57,280916.901,7531612.943,15.335642,16745,12938,325,3253.9,0.000000,0.000000
CAN,60,7.6,29.4,17.5,108033659.6,276974525.6,8359996.455,633054575.6,1.5467317,6732234,1407291,25862,3717.5,0.000000,0.663044
COD,-4.04,6,6.7,NA,229063790.1,688081981.6,67398082.67,2491015094,42.306812,3373653,34695,831,38.7,0.000000,0.000000
CAF,6.61,6,7.5,NA,10411969.75,33952293.49,15049008.46,133623818.7,7.3911076,190770,7101,98,147.0,0.000000,0.000000
COG,-0.23,6,9.6,16.1,8459841.265,27420539.01,8250983.631,84069272.88,10.114681,163242,12026,157,217.9,0.000000,0.000000
CHE,46.82,5.7,19.5,25.1,24727596.14,48010200.25,1792998.184,204583652.2,127.09396,1664024,700051,10859,8088.8,0.000000,0.011555
CIV,7.54,2.4,10.3,13,46033339.01,176432059,57039438.29,568559765.3,69.995941,785653,47638,306,180.6,0.000000,0.000000
CHL,-35.68,8.6,28,44.7,49200998.67,104387957.7,6201781.556,471021186.3,18.248503,2310054,1461419,30472,7644.9,0.000000,0.000000
CMR,3.85,6,11.4,9.3,64256563.59,176696281.4,73828699.77,524610858.2,51.555649,875643,80090,1310,301.7,0.000000,0.000000
CHN,35.86,9.2,6.2,24.7,3674732390,9462250297,49883032.95,29709400211,105.88853,172914080,103320,4846,7.4,0.000641,0.379233
COL,4.57,7.4,22.3,7.9,166381917.1,291315687.1,13632861.49,1151220017,47.344856,5398544,3694707,94615,7261.2,0.000000,0.001965
CRI,9.75,9.1,25.7,9.8,10835428.85,27477079.41,679840.0685,87239648.97,79.249687,500020,339900,4322,6672.4,0.000000,0.000000
CUB,21.52,9.6,24.6,27.1,30983893.76,71031203.49,2126685.416,254160419,79.648186,1777606,154866,1065,1367.3,0.000000,0.000000
CPV,16.54,2.4,11.8,NA,845620.9416,3967648.085,282811.2007,13371145.72,106.69158,31216,31512,272,5667.7,0.000000,0.000000
CYP,35.13,9,21.8,36.7,2900247.269,5264830.862,13066.18284,20765215.43,116.35807,156373,73115,372,6055.8,0.000000,0.000000
CZE,49.82,7,26,31.5,30914078.29,91525450.38,149559.3097,369758717.7,76.580841,2175468,1664839,30219,15546.2,0.000000,0.000000
DEU,51.17,10.4,22.3,28,32900.42457,55395.05163,686.1482834,241115.2982,248.76251,1899,3720811,89821,4441.0,0.001194,0.010742
DJI,11.83,5.1,13.5,NA,1704018.601,8170051.219,1333310.03,24452715.78,43.412876,49353,11571,154,1171.2,0.000000,0.000000
DNK,56.26,8.3,19.7,18.6,27744268.59,37266984.01,592255.8877,158044424.7,65.476112,1153168,289122,2523,4991.6,0.000000,0.000000
DOM,18.74,8.6,27.6,9.4,16620619.47,83233613.56,6793382.088,241667941.3,202.29735,941777,306698,3700,2827.3,0.000000,0.000000
DZA,28.03,6.7,27.4,18.8,83010606.57,361550601.4,1028683.964,953006243.3,14.372406,2994188,132727,3560,302.7,0.002280,0.000000
ECU,-1.83,5.5,19.9,NA,27063596.82,82301986.15,4143179.695,295564489.9,58.868763,1374893,437121,20997,2477.6,0.000000,0.000000
EST,58.6,4.2,21.2,30.5,2227092.781,11913629.58,351382.6558,47705497.06,14.276736,281892,130418,1266,9831.4,0.000000,0.000000
EGY,26.82,17.2,32,21.4,269543980.4,931577353.5,475054.4901,2169081209,74.969025,5082329,271780,15547,265.6,0.000977,0.000000
ERI,15.18,5.1,5,7.2,8065969.335,27576571.56,2036111.672,88205309.95,28.691172,146347,4848,16,136.7,0.000000,0.000000
ESP,40.46,6.9,23.8,27.9,181745469.7,290301389.5,9798413.322,1311286194,68.013908,10432410,3733600,80501,7985.5,0.000000,0.002139
ETH,9.14,4.3,4.5,4.6,125070156.1,626277477,109273805.5,2449520392,78.019409,3251668,273892,4235,238.2,0.000000,0.000000
FIN,61.92,5.6,22.2,19.7,13901312.7,34552196.77,123455.6273,147859861.2,6.2922997,1234424,93660,964,1690.4,0.000000,0.018048
FJI,-17.71,14.7,30.2,26.7,634568.5812,6699259.758,47589.03394,18255810.42,38.711658,63961,970,4,108.2,0.000000,0.000000
FRA,46.23,4.8,21.6,34.6,148999127.1,403312924.9,9242274.117,1936233849,73.097343,13717880,5671864,109472,8689.4,0.006128,0.010724
GAB,-0.8,6,15,NA,5068421.617,19989127.77,9617930.162,64635620.76,9.7767839,95667,24736,156,1111.4,0.000000,0.000000
GBR,55.38,3.9,27.8,19.2,287572335.3,410133932.9,12481109.89,1364019368,138.56555,12455671,4550944,127884,6703.8,0.002946,0.005892
GRD,12.12,10.7,21.3,NA,149117.0906,690766.9855,22310.06322,2103723.58,222.03497,7228,161,1,143.1,0.000000,0.000000
GEO,42.32,5.8,21.7,29.7,9649792.236,33643479.25,412032.7516,116902734.5,33.898582,568023,352649,5012,8840.1,0.000000,0.000000
GHA,7.95,2.5,10.9,3.7,59337565.91,221566122.2,36802978.75,612713536.4,118.78139,1242341,94444,789,303.9,0.000000,0.000000
GMB,13.44,1.9,10.3,14.4,4951428.982,16916989.77,3611037.042,51453435.96,186.91705,56582,6008,180,248.6,0.000000,0.000000
GIN,9.95,2.4,7.7,NA,24911457.8,74510942.93,16790808.33,298281304.6,42.421486,413951,23366,167,177.9,0.000000,0.000000
GNQ,1.65,6,8,NA,2369286.466,8495525.412,8469576.635,30818832.42,40.789696,34416,8640,118,615.8,0.000000,0.000000
GRC,39.07,4.7,24.9,39.1,32547962.12,58252517.8,441216.7792,272632285.8,53.04789,2376053,413954,12381,3971.5,0.019188,0.000000
GTM,15.78,10,21.2,NA,23527952.44,94192156.59,3673946.166,311552979,137.86386,903527,269308,8416,1503.2,0.000000,0.000000
GNB,11.8,2.4,9.5,NA,3860230.922,12038361.85,4017500.376,44583454.17,45.877361,57116,3802,69,193.2,0.000000,0.000000
GUY,4.86,11.6,20.2,12.2,980281.0868,5086876.059,913361.3991,14016008.72,2.9165964,39379,18196,422,2313.4,0.000000,0.000000
HND,15.2,7.3,21.4,NA,22322329.45,51348099.26,1099368.78,164942350,70.555359,485164,245695,6599,2480.6,0.000000,0.000000
HRV,45.1,5.4,24.4,36.6,12152431.11,29894356.47,72478.83835,168234489.5,43.780178,855616,358379,8123,8729.7,0.000000,0.000000
HTI,18.97,6.7,22.7,8.3,26923756.7,95298285.47,21777709.39,293828386.8,435.65646,660562,16079,346,141.0,0.000000,0.000000
HUN,47.16,6.9,26.4,30.6,36212350.68,78287876.46,155894.7959,344017274.8,59.28672,1881012,806790,29904,8351.6,0.000000,0.000000
IDN,-0.79,6.3,6.9,37.9,707419774.7,1779694806,30656464.47,6192354766,127.39873,15767469,1894025,52566,692.5,0.000000,0.000731
IRL,53.14,3.2,25.3,23.6,22019895.31,33058324.47,252565.746,124595357,40.289165,790331,266058,4941,5388.2,0.000000,0.020252
ISR,31.05,9.7,26.1,25.5,21816691.87,48252802.78,1350765.421,166015576.7,297.70181,1118573,839653,6428,9700.8,0.000000,0.000000
IND,20.59,10.4,3.9,27,4883967087,8942443298,185367251.8,33095786207,357.89706,91445872,29359155,367081,2127.5,0.000000,0.000217
IRQ,33.22,8.8,30.4,22.2,49267098.14,408410038.9,269502.7214,861600841.8,72.400681,1427104,1246860,16668,3099.9,0.012431,0.000000
IRN,32.43,9.6,25.8,14,173469040.9,769017677.9,2399007.668,1370916275,35.859539,4969041,3013078,81796,3587.3,0.007143,0.000000
