Country,Latitude,Diabetes,Obesity,Smoking,COPD,CVD,HIV,Hypertension,Pop_Density,Confirmed,Deaths,C19/100k
AND,42.51,7.7,25.6,33.8,407433.931,643524.0028,13599.76914,2803277.469,160.06224,13813,127,17877.4
ARE,23.42,16.3,31.7,18.2,28046713.43,81298715.96,479376.0858,117158943,100.16113,593894,1720,6004.8
ALB,41.15,9,21.7,29.2,4917041.53,21657188.59,3365.794764,88189988.39,63.493862,132437,2453,4602
ARM,40.07,6.1,20.2,26.7,7321981.835,22694627.45,119558.4058,76486265.63,64.060448,223555,4482,7544.3
ARG,38.42,5.9,28.3,21.8,148083694.8,250160269.6,19274347.65,1094006764,11.361794,4093090,84628,9056.4
AUT,47.52,6.6,20.1,29.1,30300893.48,60559841.8,1529242.679,240600619.9,60.95504,648187,10652,7197
AUS,25.00,5.6,29,16.2,73693078,151957546.4,1336286.422,399439769.1,2.1216061,30234,910,118.8
AZE,40.14,6.1,19.9,19.6,26306421.04,86017122.8,299266.6439,235705298.5,78.324265,335065,4951,3304.7
BIH,43.92,9,17.9,38.3,8303198.023,26459766.32,10676.23099,123131741.3,40.539822,204597,9479,6236.2
BRB,13.19,13.4,23.1,8.7,304583.4619,2012726.259,125636.2918,7682752.755,529.70215,4033,47,1403.4
BGD,23.68,9.2,3.6,39.1,503957079.9,1039507098,863875.0953,3444461746,934.90356,822849,13032,499.6
BEL,50.83,4.6,22.1,25,50657519.59,71757697.67,2087671.772,273164344.6,206.44856,1074988,25075,9275.4
BFA,12.24,7.3,5.6,16,33548458.66,132178137.9,13387428.33,558181043.9,69.777496,13456,167,64.4
BGR,42.73,6,25,38.9,19951292.83,55391840.25,174522.6305,251079571.4,39.22279,420213,17893,6047.6
BHR,26.03,15.6,29.8,25.1,4818826.551,17525133.99,29717.58647,36505102.52,2437.2527,256921,1196,15098.9
BDI,3.37,5.1,5.4,12.6,20355015.67,75216647.06,12043902.75,244917278.1,385.94769,4975,8,41.8
BEN,9.31,1,9.6,7.2,25628034.86,84124128.57,10492674.68,278231796.2,95.162834,8109,102,66.9
BRN,4.54,13.3,14.1,15.5,1458354.813,2628480.721,51262.02528,8052031.769,66.348495,248,3,56.7
BRA,14.23,10.4,22.1,16.5,514185368,1052836193,70522662.42,4221906822,21.290783,17296118,484235,8137.1
BHS,25.03,8.8,31.6,10.9,480452.3209,2622726.648,378640.2145,8030031.208,22.272137,12092,236,3074.9
BWA,22.33,5.8,18.9,23.7,5991731.934,16516008.73,39251565.12,54247037.08,3.2950499,59480,896,2529.3
BLR,53.71,5,24.5,26.6,18994793.63,70553779.2,1550690.511,292075711.1,22.723469,403845,2958,4273.8
CAN,60.00,7.6,29.4,17.5,108033659.6,276974525.6,8359996.455,633054575.6,1.5467317,1407291,25862,3717.5
COG,0.23,6,9.6,16.1,8459841.265,27420539.01,8250983.631,84069272.88,10.114681,12026,157,217.9
CHE,46.82,5.7,19.5,25.1,24727596.14,48010200.25,1792998.184,204583652.2,127.09396,700051,10859,8088.8
CIV,7.54,2.4,10.3,13,46033339.01,176432059,57039438.29,568559765.3,69.995941,47638,306,180.6
CHL,35.68,8.6,28,44.7,49200998.67,104387957.7,6201781.556,471021186.3,18.248503,1461419,30472,7644.9
CMR,3.85,6,11.4,9.3,64256563.59,176696281.4,73828699.77,524610858.2,51.555649,80090,1310,301.7
CHN,35.86,9.2,6.2,24.7,3674732390,9462250297,49883032.95,29709400211,105.88853,103320,4846,7.4
COL,4.57,7.4,22.3,7.9,166381917.1,291315687.1,13632861.49,1151220017,47.344856,3694707,94615,7261.2
CRI,9.75,9.1,25.7,9.8,10835428.85,27477079.41,679840.0685,87239648.97,79.249687,339900,4322,6672.4
CUB,21.52,9.6,24.6,27.1,30983893.76,71031203.49,2126685.416,254160419,79.648186,154866,1065,1367.3
CYP,35.13,9,21.8,36.7,2900247.269,5264830.862,13066.18284,20765215.43,116.35807,73115,372,6055.8
CZE,49.82,7,26,31.5,30914078.29,91525450.38,149559.3097,369758717.7,76.580841,1664839,30219,15546.2
DEU,51.17,10.4,22.3,28,32900.42457,55395.05163,686.1482834,241115.2982,248.76251,3720811,89821,4441
DNK,56.26,8.3,19.7,18.6,27744268.59,37266984.01,592255.8877,158044424.7,65.476112,289122,2523,4991.6
DOM,18.74,8.6,27.6,9.4,16620619.47,83233613.56,6793382.088,241667941.3,202.29735,306698,3700,2827.3
DZA,28.03,6.7,27.4,18.8,83010606.57,361550601.4,1028683.964,953006243.3,14.372406,132727,3560,302.7
EST,58.60,4.2,21.2,30.5,2227092.781,11913629.58,351382.6558,47705497.06,14.276736,130418,1266,9831.4
EGY,26.82,17.2,32,21.4,269543980.4,931577353.5,475054.4901,2169081209,74.969025,271780,15547,265.6
